smiles,standard_value,PCFE,RTlogD,ADMETlab2.0,w/o microscopic pKa,w/o pre-training and microscopic pKa,w/o pre-training,no_logp,swap_strategy,all_task_scaffold,replace_macropka,Instant Jchem,logp_simi,RT_simi,logD_simi,logp_smi
Cc1c(-c2ccccc2)nc2ccc(C(F)(F)F)cc2c1C(=O)Nc1ccc(C(=O)O)cc1F,2.1,2,2.507,3.553,1.847,1.855,1.691,2.105532,2.3392825,1.7432014,1.7366505,3.218376,0.344827586,0.459016393,0.447761194,0.344827586
Cc1c(-c2ccccc2)nc2ccc(C(C)(C)C)cc2c1C(=O)Nc1ccc(C(=O)O)cc1F,2.1,2.97,2.76,3.831,2.454,2.186,2.503,2.9997215,2.2165294,2.4128401,2.1836739,3.88558716,0.321428571,0.459016393,0.447761194,0.396825397
CCn1c(-c2ccc(C(F)(F)F)nc2)nc2c(O[C@H]3CCN(C(=O)N4CC(OC)C4)C3)ncnc21,2.1,1.91,1.981,2.373,1.541,1.638,2.214,2.2783709,1.5758868,2.5343242,1.5367124,1.940336258,0.215686275,0.333333333,0.464285714,0.235294118
CC(C)c1ccn2ncnc(N[C@H]3CC[C@@H](N4CCN(C(=O)CCOCCOCCOCCOCCOCC=Nc5cccc6c(O)n(C7CCC(=O)NC7=O)c(O)c56)CC4)CC3)c12,2.1,2.04,1.799,1.713,1.946,0.855,1.066,1.4754233,0.9727857,1.774368,1.4350563,1.913743634,0.191666667,0.243478261,0.475247525,0.201923077
CC(C)c1ccn2ncnc(N[C@H]3CC[C@@H](N4CCN(C(=O)CCC(=O)NCCOCCOCCOCCNc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)c12,2.1,2.04,1.989,1.404,1.495,0.412,0.682,1.0035628,0.802974,1.7949783,1.4575832,0.662446771,0.211009174,0.276785714,0.49,0.288659794
NCc1cc(-c2cccc(C(=O)Nc3ccccc3CC(=O)O)c2)ccc1Cl,2.1,1.03,0.428,2.42,-0.519,0.359,0.6,-0.036295176,0.26686382,-0.2993126,-0.37903214,1.806288837,0.472727273,0.35483871,0.472727273,0.472727273
CNC(=O)c1cnc2cc(OC)c(OC)cc2c1Oc1ccccc1,2.1,2.42,3.328,2.781,2.847,2.35,2.858,3.2577074,2.6535714,2.3979812,2.5018535,2.389400265,0.333333333,0.419354839,0.466666667,0.411764706
CC(=O)N1Cc2cc(S(=O)(=O)CCO)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,2.1,2.39,3.046,2.062,2.89,2.669,2.368,2.7331433,2.4415565,2.8325624,2.8274393,1.148838268,0.28125,0.337349398,0.424657534,0.28125
CNC(=O)c1cc(C(=O)N[C@@H]2[C@H]3COC[C@H]32)cc2c1OC[C@H]2C1CCOCC1,2.1,1.01,1.158,1.738,1.126,1.173,1.377,0.83078504,1.622169,1.7154438,1.660036,-0.154890328,0.243243243,0.246153846,0.402985075,0.243243243
O=C(CCCN1CCCCCC1)Nc1cnc(-c2ccc(F)cc2F)s1,2.11,3.66,3.152,3.767,2.712,2.41,2.866,3.255282,2.6687684,3.285829,3.312136,1.637781987,0.387096774,0.333333333,0.358974359,0.387096774
N#Cc1cc(F)c(-c2c(Cl)nc3ncnn3c2N2CCCCCC2)c(F)c1,2.12,3.19,4.834,3.446,3.511,3.228,3.37,3.8803697,2.839004,3.3161905,3.5495687,4.32,0.25,0.41509434,0.268656716,0.25
CN1CCN(c2nc3ccc(Cl)cc3n3cnnc23)CC1,2.12,1.64,3.276,2.85,2.064,2.366,2.533,2.4601614,1.9567814,1.8636081,2.839045,0.81206928,0.322580645,0.428571429,0.395833333,0.322580645
COc1ncc(-c2nc(N3CCOCC3)c3ncn(CCCCCCC(O)=NO)c3n2)cn1,2.14,1.7,2.09,1.895,1.95,1.171,1.98,1.6841474,1.1978064,2.038747,2.0920787,0.434760164,0.24691358,0.35106383,0.303030303,0.25
COCCOc1ncc2c(n1)CCN(C(=O)c1cc(C(C)C)c(O)cc1O)C2,2.14,2.49,2.227,2.369,2.148,2.287,2.292,2.6328576,2.0358505,2.2444324,1.8117305,2.862105749,0.243243243,0.430555556,0.478873239,0.243243243
Cc1cc(-c2ccnc(Nc3ccccn3)n2)ccc1CNC(=O)c1cnc(C(C)(C)C)s1,2.17,4.04,4.83,3.746,3.983,4.207,3.832,4.2512054,4.1186614,4.347257,3.9696777,5.6032332,0.24,0.333333333,0.301204819,0.24
O=C(c1cccc(F)c1-c1ncccn1)N1[C@H]2CC[C@@H]1C[C@H]2Nc1cnc(C(F)(F)F)cn1,2.18,2.36,2.496,2.462,2.119,2.018,2.475,2.1618075,2.24471,1.9710408,1.8401631,3.03,0.236842105,0.296296296,0.280487805,0.238636364
COc1cc2c(-c3cc(OC)c(OC)c(OC)c3)nccc2cc1O,2.18,2.3,2.985,3.026,2.596,2.942,3.011,3.227818,2.533654,3.1372252,3.0011373,2.825212556,0.37254902,0.37254902,0.37254902,0.37254902
COc1ccc2nccc(CCN3CCC(NCc4ccc(I)cc4)CC3)c2n1,2.18,2.83,2.353,3.576,2.902,2.533,2.638,2.7659378,3.2261357,3.2120519,2.6280897,2.178691332,0.243902439,0.317073171,0.475,0.263157895
CNC(=O)CN(CC(c1ccccc1)n1cccn1)C(=O)c1cc(C)c(=O)n(C)c1,2.2,1.42,1.557,1.085,1.199,1.199,1.144,1.5618151,0.8341093,0.33686912,1.5822909,0.62,0.263157895,0.289473684,0.294117647,0.263157895
N(C(=O)C1C(N2N=CC=N2)=CC=CC=1F)1CC2C(C1)CN(C1=NC(C)=CC(=N1)C)C2,2.2,2.01,2.017,2.446,1.879,2.12,2.173,1.6390169,1.5254285,2.0795221,2.1454477,1.14,0.343283582,0.454545455,0.28358209,0.345454545
CNS(=O)(=O)c1cnn(-c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)c1,2.2,1.48,1.442,2.059,1.5,1.632,1.624,1.0469255,1.8934622,1.2260473,1.0693785,0.11,0.215053763,0.226804124,0.215686275,0.215053763
COCCNc1ncnn1-c1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,2.2,1.72,2.338,1.883,1.802,1.53,1.552,1.9325323,1.9878201,2.0845459,1.270899,0.72,0.175257732,0.216981132,0.230769231,0.177570093
CCNc1ncnn1-c1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,2.2,1.92,2.733,2.122,2.013,1.766,1.638,2.2226512,2.57228,2.3048778,2.2879155,1.12,0.193181818,0.185185185,0.2,0.198019802
Cc1ncccc1-c1cnc(NCc2c(F)cc(C#N)c3c2CCO3)n2cnnc12,2.2,1.63,2.133,2.074,1.78,1.41,2.321,2.288087,1.6642811,1.8071477,1.4602962,0.92,0.206896552,0.255555556,0.296703297,0.235294118
CN(c1cnn(C)c1)c1cnc(NCc2c(F)ccc3c2CCO3)n2cnnc12,2.2,1.91,2.234,2.118,2.234,1.27,2.209,2.1328948,2.1036046,1.5477657,1.8656205,0.6,0.157894737,0.239583333,0.233333333,0.169811321
Cc1ncccc1-c1cnc(NCc2c(F)ccc3c2CCO3)c2nn(CC#N)c(=O)n12,2.2,1.84,2.683,2.39,1.804,2.126,2.147,2.6034734,1.7556603,2.1964993,2.6893015,1.29,0.19047619,0.287234043,0.280898876,0.19047619
CN(C)Cc1ccc2c(c1)CN(c1cnc(NCc3c(F)ccc4c3CCO4)c3cn[nH]c(=O)c13)C2=O,2.2,2.37,1.528,2.036,1.418,1.379,1.682,1.2806197,1.895498,1.524523,1.5531404,1.2,0.225490196,0.245098039,0.264150943,0.225490196
CCC[C@H]1C(=O)N[C@@H](C2CCCCCC2)C(=O)N[C@@H](CN)C(=O)N[C@@H](CO[C@H]2C[C@H](N)C2)C(=O)N[C@H](C)CO[C@H](CC2CC3(CCC3)C2)[C@@H](C)C(=O)N1C,2.2,1.79,1.324,3.74,1.994,1.934,0.25,1.3232142,0.9210024,1.4596689,2.3432264,-2.07,0.175925926,0.19266055,0.262711864,0.183206107
CCP(=O)(OC)c1ccc2oc(-c3cccnc3C(F)(F)F)nc2c1,2.2,2.4,3.552,2.724,3.118,2.881,2.9,3.426793,3.2253122,2.934124,3.0095663,3.42,0.289855072,0.301369863,0.282051282,0.289855072
COc1ncc(C2=CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3CCCC3)cc2)c1,2.2,2.1,1.418,1.834,1.761,1.781,2.249,1.1504276,1.8978659,2.5017865,2.088463,1.28,0.260273973,0.306818182,0.297029703,0.260273973
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)c(F)c2F)c1,2.2,3.05,2.232,2.672,2.12,1.64,2.297,2.0292425,2.0781565,1.9106284,1.6036229,2.06,0.234042553,0.326086957,0.29787234,0.25
Nc1nnc(CN(Cc2ccc(O)nc2)C(=O)COc2cc(F)cc(F)c2C2CC2)o1,2.2,1.09,1.597,1.085,0.555,0.582,0.833,1.0525471,0.13796806,0.8943974,1.1204634,1.43,0.238095238,0.285714286,0.24,0.238095238
N#Cc1ccc(CN(Cc2nnc(N)o2)C(=O)COc2cc(F)cc(F)c2C2CC2)cn1,2.2,1.75,3.064,1.603,1.704,1.629,1.9,2.568194,1.1760163,1.9871483,1.8090293,1.38,0.227272727,0.26,0.268817204,0.227272727
CC(=O)Nc1ccc(C(=O)NCCc2c[nH]cn2)cc1OCc1ccccc1,2.2,1.5,2.035,1.788,1.745,1.532,2.026,1.9807668,1.9209795,2.1689308,1.8795192,1.724530011,0.390625,0.325301205,0.367647059,0.390625
Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1C(=O)NCC(CCC(=O)O)c1ccccc1Cl,2.2,3.07,2.805,4.167,3.26,2.981,2.72,3.2245934,2.9294925,3.113502,3.0633574,4.067307346,0.3,0.55,0.390804598,0.3
Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1C(=O)NCC(CCC(=O)O)c1c(F)ccc(F)c1Cl,2.2,3.03,3.053,4.021,3.177,3.33,2.912,3.2165542,3.645228,3.2583323,3.1632676,4.15665415,0.283783784,0.515625,0.4,0.283783784
Cc1ccc(Nc2cc(C)nn2-c2nc(=O)cc(C)[nH]2)cc1,2.2,2.21,3.623,2.812,3.725,2.52,3.525,3.0551744,3.278378,3.2571979,3.0667787,1.868609166,0.282608696,0.411764706,0.362318841,0.282608696
CNC(=O)c1cc(C(=O)NC2C3COCC32)cc(C(O)c2ccccc2)n1,2.2,1.19,2.053,1.269,0.87,1.241,1.534,1.6379813,1.108665,1.4965961,1.9935434,0.107576239,0.31372549,0.316666667,0.347826087,0.31372549
CNC(=O)CN(CC(C)c1ccccc1)C(=O)c1cc(C)c(=O)n(C)c1,2.2,1.68,1.771,1.459,1.677,1.719,1.508,2.5348687,1.1489089,1.3243992,2.3232524,0.984375736,0.314814815,0.346666667,0.323943662,0.314814815
O=C1CCC(N2Cc3cc(OCCOCCOCCOCc4ccccc4)ccc3C2=O)C(=O)N1,2.2,1.82,1.685,1.436,1.395,0.988,1.026,1.2558259,1.6486126,1.8224607,0.7510953,1.546922724,0.277777778,0.333333333,0.313953488,0.406779661
CC(=O)c1ccc(N2CCN(C(=O)c3cnn(C(C)(C)C)c3)CC2)cc1,2.2,2.72,2.856,2.205,2.403,2.217,2.372,2.486584,2.1721094,2.2901337,2.3098984,2.048943778,0.406779661,0.45,0.333333333,0.466666667
CO[C@H]1C[C@@](CC#N)(n2cc(-c3nc(-c4cnn(C)c4)cn4nccc34)cn2)C1,2.2,1.5,1.469,1.543,1.771,1.687,1.627,2.3232899,1.9664015,1.658911,1.4673449,0.925046922,0.2,0.258823529,0.325301205,0.2
CC(=O)N[C@@H]1CCCC(C(=O)Nc2cc(-c3cnc(C)n3C)c(Cl)cn2)C1,2.2,2.05,2.288,2.141,1.746,2.109,1.742,1.9471195,2.2825298,2.0425756,1.715297,1.379199039,0.3125,0.3,0.329113924,0.3125
CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(N[C@@H]5CCOC[C@@H]5N)cn4)n3)cc12,2.2,0.7,1.536,2.728,1.576,2.182,1.419,1.6030948,0.8836105,1.8124542,2.4219196,-1.390610026,0.197802198,0.318181818,0.373626374,0.197802198
O=C(N[C@H]1CCN(CCCF)CC1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,2.2,2.26,2.436,2.183,2.345,2.54,2.643,2.3048334,2.406203,2.381446,1.926477,0.647932904,0.25,0.35106383,0.333333333,0.25
O=C(N[C@H]1CCN(c2nccn3ccnc23)C1)C1[C@H]2CN(C(=O)C3CCCC3)C[C@@H]12,2.2,1.55,1.856,2.01,1.801,1.843,1.886,2.1565747,1.3303246,1.8184882,1.4188787,-0.026091509,0.253521127,0.393442623,0.350877193,0.253521127
C[C@H]1CCCN1C(=O)N1C[C@@H]2C(C(=O)N[C@H]3CCN(c4nccn5ccnc45)C3)[C@@H]2C1,2.2,1.18,1.197,1.754,1.278,1.242,1.497,1.4088218,1.0147711,1.6377547,0.70192707,-0.758845968,0.25,0.329268293,0.322580645,0.25
C[C@@H]1CCCN1C(=O)N1C[C@@H]2C(C(=O)N[C@H]3CCN(c4nccn5ccnc45)C3)[C@@H]2C1,2.2,1.17,1.197,1.724,1.278,1.242,1.497,1.5000663,0.92334545,1.5664004,0.85634565,-0.758845968,0.25,0.329268293,0.322580645,0.25
CC(=O)Nc1ccc2c(c1)c(-c1nc3c(-n4cc(CN(C)C)c(C)n4)ccnc3[nH]1)cn2C,2.2,3.4,2.624,2.861,2.291,1.559,2.454,3.1305728,1.7541606,2.3112895,2.1514783,1.682934967,0.276315789,0.294117647,0.35106383,0.276315789
CNC(=O)c1nn(C)c2ccc(Nc3nccc(-c4cc(CN(C)C)n(C)n4)n3)cc12,2.2,1.91,2.234,2.532,1.815,2.488,2.342,2.4055812,1.8987181,1.9305726,2.214808,1.368403143,0.220588235,0.32183908,0.376623377,0.246575342
Cc1cnc(C(=O)N[C@H]2CCOC[C@@H]2O)cc1Cc1ccc(-c2cscn2)cc1,2.2,2.3,2.853,2.39,2.753,2.856,2.911,3.0280364,2.8238869,2.7189438,2.8336325,2.783713336,0.25,0.279069767,0.306818182,0.25
CCP(=O)(OC)c1ccc2oc(-c3ccnc(OC(F)F)c3)nc2c1,2.2,2.58,3.778,2.86,2.618,3.112,2.693,3.6005785,2.8990045,2.7464054,3.1980255,3.437199981,0.295774648,0.306666667,0.311688312,0.295774648
O=C1NC2(CO1)CC(C(=O)N1CCC(COc3ccc(F)cc3Cl)C1)C2,2.2,2.22,2.472,2.92,1.834,2.006,1.832,1.5158474,1.9305774,1.7721124,1.8011575,1.794752942,0.25974026,0.3875,0.304878049,0.2625
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3CCCC3)c(F)c2)c1,2.2,2.32,1.626,1.893,1.815,1.588,1.914,1.3316153,1.4961753,2.1207418,1.440079,1.284735468,0.246753247,0.329268293,0.32038835,0.279569892
CS(=O)(=O)c1ccc2c(c1)CN(C(=O)C1CCO1)C2C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,2.2,2.68,3.511,2.207,3.431,3.006,2.623,3.046342,2.9553852,3.2205155,2.7087293,1.613020582,0.311688312,0.34939759,0.364864865,0.311688312
C=CCn1c(=O)c2cnc(Nc3ccc4c(c3)CN(CCO)CC4)nc2n1-c1cccc(C(C)(C)O)n1,2.2,2,1.999,2.416,1.241,1.649,1.942,1.9228449,1.5762361,2.0558352,1.3457947,1.505409075,0.212962963,0.707317073,0.317307692,0.25
CN1CCCC(NC(=O)OC(c2ccc(F)cc2)c2ccc(F)cc2)C1,2.2,3.16,2.963,3.246,2.381,2.795,2.613,2.6408184,2.8045802,2.2774806,2.9319425,3.404528713,0.308823529,0.377358491,0.385714286,0.308823529
Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1COc1ccc(C(=O)O)cc1F,2.2,3.12,2.972,3.874,2.878,3.117,2.428,2.4296532,2.4352777,2.9196315,2.4523911,3.687381676,0.328125,0.526315789,0.422535211,0.328125
CC1(C)NC(=O)N(c2ccc(F)c(C(F)F)c2)C1=O,2.2,2,2.29,1.639,1.806,2.259,2.225,2.822548,2.2316399,1.5137844,2.9234884,1.96473409,0.244444444,0.301886792,0.48,0.282608696
CC1(C)C(=O)N(c2ccc(F)c(C(F)(F)F)c2)C(=O)N1CC(N)=O,2.2,1.7,2.21,1.485,1.345,1.835,1.865,1.8136086,1.0931021,1.6012313,2.0853765,1.348211391,0.285714286,0.28,0.5,0.285714286
CC(C)c1ccn2ncnc(N[C@H]3CC[C@@H](N4CCN(C(=O)CCOCCOCCOCCOCC=Nc5cccc6c(O)n(C7CCC(=O)NC7=O)c(O)c56)CC4)CC3)c12,2.2,2.19,1.789,1.778,1.91,1.03,1.184,1.5880247,1.6044188,1.6528134,1.5520313,1.960719142,0.191666667,0.243478261,0.475247525,0.201923077
COc1ccc(CC(=O)Nc2cnn(C(F)(F)F)c2)cc1OC,2.2,2.33,2.339,2.945,2.539,2.728,2.381,2.2821026,2.2050796,2.0315714,1.6743426,2.746572266,0.375,0.5,0.417910448,0.375
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,2.2,2.67,2.82,2.556,2.65,2.446,1.926,2.7056203,2.295937,1.7515246,2.4520564,1.487580827,0.23655914,0.252427184,0.406593407,0.23655914
C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,2.2,2.43,2.24,2.668,1.561,2.082,2.261,2.3132923,1.9213158,2.1807027,2.0819576,2.509402587,0.242105263,1,0.436781609,0.242105263
CCn1c(-c2ccc(C(F)(F)F)nc2)nc2c(O[C@H]3CCN(C(=O)C4CC(OC)C4)C3)ncnc21,2.2,2.45,2.378,2.56,1.981,2.09,2.444,2.5099852,2.3145132,2.2654417,1.642756,2.466035904,0.216494845,0.369047619,0.506024096,0.241758242
CCCOc1cc(Oc2ccc(C)nc2C)cc2c1nc(COc1cccc(C(=O)O)c1)n2C,2.2,2.45,2.024,3.033,1.377,1.487,1.69,2.3437123,1.9213382,1.4640359,1.5744963,0.983594466,0.338461538,0.315068493,0.56,0.338461538
CN(C)[C@H]1CC[C@H](Nc2nc(Nc3cnn(C(F)(F)F)c3)nn3cccc23)CC1,2.2,2.62,2.036,3.173,2.345,2.276,2.277,1.801545,2.3141038,2.6881778,2.09411,1.39601969,0.206185567,0.24691358,0.507936508,0.206185567
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2)N1S(C)(=O)=O,2.2,2.63,2.83,2.581,2.651,2.734,2.418,3.391214,2.811252,2.7204313,2.956915,2.286076619,0.252747253,0.405063291,0.582278481,0.252747253
CC(C)CC1C(=O)NC(C2CCCCC2)C(=O)NC(CN)C(=O)NC([C@H](C)O)C(=O)NCC(=O)O[C@H](CCCCCCC(C)(C)O)C(C)C(=O)N1C,2.2,2.95,2.706,2.302,1.676,1.41,1.761,2.134194,1.8930712,1.4581858,1.2562884,0.258050111,0.179310345,0.193277311,0.604395604,0.266666667
CNc1nc(OCCOC)nc2c1CN(C(=O)c1cc(C(C)C)c(O)cc1O)CC2,2.21,2.87,2.684,2.34,2.484,2.364,2.49,2.7113914,2.8482554,2.914145,2.4152956,2.929209586,0.246575342,0.376623377,0.421052632,0.246575342
COc1ccc2nccc(CCN3CCC(NCc4ccc(Cl)c(F)c4)CC3)c2n1,2.22,2.87,2.356,3.61,2.824,2.186,2.669,2.7793946,3.2471573,2.9255028,2.3402386,2.223442956,0.26744186,0.313253012,0.524390244,0.26744186
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,2.22,2.23,2.727,2.582,2.102,2.991,2.446,2.7321754,2.1313045,2.3595903,2.406992,2.548376395,0.396551724,0.688888889,0.688888889,1
CCNc1cc(F)cc2c1[nH]c1ncc(-c3cncc(C(=N)NC)c3)c(-n3ccc(C(F)(F)F)n3)c12,2.28,3.73,3.948,2.892,3.226,3.178,1.876,3.7105756,3.020537,2.0024319,2.9104044,0.935246306,0.204081633,0.221052632,0.523255814,0.204081633
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,2.29,1.36,1.481,2.043,1.872,1.443,1.457,1.1906108,0.4922166,1.2453924,1.5565779,0.697034104,0.477272727,0.720930233,0.581395349,0.477272727
O=C1CCC(N2C(=O)c3ccc(NC(=O)COCCOCCOCc4ccccc4)cc3C2=O)C(=O)N1,2.3,1.23,1.883,1.259,1.674,0.754,0.779,1.3107818,1.0848371,1.0201964,0.96274436,0.71,0.288888889,0.36,0.295774648,0.474576271
O=C1CCC(N2Cc3c(OCCOCCOCCOCc4ccccc4)cccc3C2=O)C(=O)N1,2.3,2,1.626,1.46,1.209,0.907,0.914,1.1769322,1.7059016,1.818301,0.66792774,1.55,0.269662921,0.309859155,0.2875,0.431034483
COc1cc(F)c(CNc2ncc(-c3cccnc3C)c3nncn23)c2c1OCC2,2.3,1.63,2.423,2.268,1.952,1.396,2.292,2.6436024,2.169604,1.7167685,1.8033407,0.91,0.209302326,0.277777778,0.293478261,0.213483146
CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(CN(C)C)c(OC)n4)n3)cc12,2.3,2.02,2.491,3.09,2.148,2.578,2.488,2.5156202,2.2281704,2.473134,2.7451203,2.03,0.233766234,0.3875,0.298850575,0.235294118
Cc1ccc(COC2CN(C(=O)[C@H]3C[C@]4(COC(=O)N4)C3)C2)cc1Cl,2.3,1.82,2.113,2.875,1.74,1.978,2.062,1.7990177,2.0553617,1.8990318,2.0271606,2.02,0.25,0.303797468,0.298701299,0.25
Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1CNc1ccc(C(=O)O)cc1F,2.3,3.14,2.42,3.748,3.028,2.587,2.931,2.8327136,2.9296768,2.9409828,3.0711982,3.563392796,0.328125,0.526315789,0.397058824,0.328125
Cc1c(-c2ccccc2)cc2ccc(Br)cc2c1C(=O)Nc1ccc(C(=O)O)cc1F,2.3,3.38,2.406,3.313,2.211,2.358,2.409,2.7574558,2.6383557,3.5484657,2.4425373,3.555255389,0.309090909,0.417910448,0.363636364,0.333333333
Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1C(=O)NCC(CCCC(=O)O)c1ccccc1Cl,2.3,3.05,2.936,4.341,3.331,3.255,2.832,2.9526205,3.2384539,3.1342578,3.1382415,4.482832173,0.291666667,0.507936508,0.382022472,0.291666667
Cc1c(N2CCCC2)nc2ccc(Br)cc2c1C(=O)NC[C@H](CCC(=O)O)c1ccccc1Cl,2.3,3.34,2.455,3.223,2.926,3.455,3.29,3.4328656,2.7885072,3.3037746,2.6465342,3.04700392,0.253333333,0.375,0.371794872,0.27027027
Cc1c(N2CCCC2)nc2ccc(Br)cc2c1C(=O)NC[C@@H](CCC(=O)O)c1ccccc1Cl,2.3,3.36,2.455,3.246,2.926,3.455,3.29,3.4607396,2.8911386,3.3435926,2.6009934,3.04700392,0.253333333,0.375,0.371794872,0.27027027
O=C(CCCN1CCCCCC1)Nc1cnc(-c2ccc(F)c(F)c2)s1,2.3,3.64,3.273,3.759,2.734,2.448,2.96,2.8803368,2.820242,3.0146492,2.690641,1.632438907,0.349206349,0.337837838,0.353658537,0.349206349
CNC(=O)C(C)N(CC(c1ccccc1)c1ccccn1)C(=O)c1cc(C)c(=O)n(C)c1,2.3,2,2.54,1.59,1.613,1.673,1.67,2.0508041,1.3774424,0.25682116,2.0703363,1.676913365,0.293333333,0.356164384,0.304878049,0.307692308
CO[C@H]1C[C@](CC#N)(n2cc(-c3nc(-c4cnn(C)c4)cn4nccc34)cn2)C1,2.3,1.5,1.469,1.543,1.771,1.687,1.627,2.203414,1.4387541,1.6259072,1.4378006,0.925046922,0.2,0.258823529,0.325301205,0.2
Cn1cc(-c2cc(-c3cnn(C4(CC#N)CN(CC(F)(F)F)C4)c3)n3ncnc3c2)cn1,2.3,2.27,1.832,2.117,2.441,2.346,2.502,1.6685734,2.1069274,2.5015843,2.32359,1.79366987,0.178571429,0.25,0.337349398,0.178571429
O=C(CC1SCCNC1=O)Nc1ccc(Cl)c(Cl)c1,2.3,2.28,2.163,3.04,1.352,1.741,2.315,2.099333,2.208499,2.304536,1.7391949,1.94509473,0.47826087,0.338709677,0.346938776,0.47826087
CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(NCC5(N)CC5)c(C)n4)n3)cc12,2.3,1.57,1.915,2.709,2.304,2.492,1.958,2.68915,1.9686614,2.00342,2.6365125,-1.291219129,0.217948718,0.302325581,0.305263158,0.217948718
C[C@@H]1Cc2c(c(O)cc3[nH]ncc23)[C@@H](c2ccc(NC3CN(CCCF)C3)cn2)N1CC(F)(F)F,2.3,2.76,2.347,2.614,3.363,3.177,2.958,2.875808,2.907272,2.5253315,2.8480983,2.477753514,0.175257732,0.223529412,0.367346939,0.175257732
C#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(NC(C)C(=O)OCC(CC)CC)Oc2ccccc2)[C@@H](O)[C@H]1O,2.3,2.39,4.003,1.125,3.623,3.69,3.853,4.025323,4.337412,4.1913857,3.3686645,2.394418217,0.25,0.219047619,0.366972477,0.25
COC[C@H]1O[C@@H](c2c(O)cc(O)c(C(C)=O)c2O)[C@H](OC)[C@@H](OC)[C@@H]1OC,2.3,1.8,0.905,1.584,0.116,-0.096,0.435,0.37620914,0.69175506,0.9467207,-0.064572096,1.506989917,0.264150943,0.238095238,0.305555556,0.264150943
CC(=O)c1ccc(N2CCN(C(=O)c3cnn(C(F)(F)F)c3)CC2)cc1,2.3,2.72,2.818,2.449,2.629,2.32,2.52,2.8445878,2.2015498,2.6778212,1.9519863,2.583767127,0.4,0.446428571,0.352941176,0.456521739
CNC(=O)c1nn(C)c2c(C)cc(Nc3nccc(-n4cc(CN(C)C)cn4)n3)cc12,2.3,1.89,2.058,2.899,2.211,2.172,1.978,2.3186164,1.6503854,1.9918102,2.59973,1.774530624,0.242857143,0.29,0.317647059,0.242857143
C[C@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3ncccc3F)ccc2N)C[C@@H](O)[C@]1(C)O,2.3,2.97,2.374,2.265,2.348,2.915,2.257,2.536237,2.4079819,2.882985,2.4622426,2.47813621,0.240506329,0.246753247,0.319587629,0.240506329
Cc1ccc(C(=O)NC2CC2)cc1-n1ccnc(N[C@@H](c2ccccc2)[C@@H](C)CN2CCN(C)CC2)c1=O,2.3,2.58,2.271,2.507,2.443,2.175,2.399,2.3404474,2.5362391,2.0729246,2.1977658,2.265711958,0.280898876,0.364705882,0.377777778,0.280898876
CC[C@@H](Nc1nccn(-c2cc(C(=O)NC3CC3)ccc2C)c1=O)c1ccccc1OCCN1CCCC1,2.3,3.12,2.603,3.475,2.8,2.473,2.755,2.3736036,2.2451494,2.69408,2.2669368,2.504380547,0.287234043,0.333333333,0.354166667,0.333333333
Cc1ccc(C(=O)NC2CC2)cc1-n1ccnc(NC(C)(C)c2ccccc2OCCN2CCCC2)c1=O,2.3,2.83,2.685,3.556,2.613,2.099,2.481,2.5545826,2.27135,2.7441022,2.6645627,2.266136849,0.293478261,0.340909091,0.34375,0.325581395
